ALPHA_CODE,spcd,REGION,EQUATION,CITATION,MinD,a1,a2,a3,a4,a5,a6,d1,d2,s1,HI_elev,HI_lat,HI_long
CN,251,SW,1,NA,5,2,1.5,0,0,0,0,2.5,1.4,0.5556,NA,NA,NA
CL,981,SW,1,NA,5,2,1.5,0,0,0,0,2.5,1.4,0.5556,NA,NA,NA
OH,998,SW,1,NA,5,2,1.5,0,0,0,0,2.5,1.4,0.5556,NA,NA,NA
RW,211,SW,1,NA,5,6.81,0.732,0,0,0,0,3.62,1.37,0.7778,NA,NA,NA
ES,93,SW,1,NA,5,6.5,1.8,0,0,0,0,3.5,2.4,0.7778,NA,NA,NA
AF,19,SW,1,NA,5,6.71,0.421,0,0,0,0,3.5,1.063,0.7778,NA,NA,NA
SF,11,SW,1,NA,5,5.82,0.691,0,0,0,0,3.26,1.103,0.7778,NA,NA,NA
NF,22,SW,1,NA,5,5.82,0.691,0,0,0,0,3.26,1.103,0.7778,NA,NA,NA
WL,73,SW,1,NA,5,4.72,0.608,0,0,0,0,3.5,0.852,0.7778,NA,NA,NA
WA,352,SW,1,NA,5,8,1.53,0,0,0,0,2.5,2.63,0.5556,NA,NA,NA
CH,768,SW,1,NA,5,2,1.5,0,0,0,0,2.5,1.4,0.5556,NA,NA,NA
MC,475,SW,1,NA,5,2,1.5,0,0,0,0,2.5,1.4,0.5556,NA,NA,NA
MB,478,SW,1,NA,5,2,1.5,0,0,0,0,2.5,1.4,0.5556,NA,NA,NA
PM,133,SW,1,NA,5,6,0.6,0,0,0,0,3.5,1.1,0.7778,NA,NA,NA
FP,104,SW,1,NA,5,6,0.6,0,0,0,0,3.5,1.1,0.7778,NA,NA,NA
GB,127,SW,1,NA,5,6,0.6,0,0,0,0,3.5,1.1,0.7778,NA,NA,NA
UJ,65,SW,2,NA,5,4.31,0.628,0,0,0,0,3.5,1.6684,0.7778,NA,NA,NA
