ALPHA_CODE,spcd,REGION,EQUATION,CITATION,MinD,a1,a2,a3,a4,a5,a6,d1,d2,s1,HI_elev,HI_lat,HI_long
BR,823,EC,1,Bechtold (2003),5,1.7827,1.6549,0,0.0343,0,0,0,0,0,887,39.54,-82.52
SN,825,EC,1,Bechtold (2003),5,2.148,1.6928,-0.0176,0.0569,0,0,0,0,0,887,39.54,-82.52
PO,835,EC,1,Bechtold (2003),5,1.6125,1.6669,0,0.0536,0,0,0,0,0,887,39.54,-82.52
DO,836,EC,1,Bechtold (2003),5,1.6125,1.6669,0,0.0536,0,0,0,0,0,887,39.54,-82.52
CO,832,EC,1,Bechtold (2003),5,2.148,1.6928,-0.0176,0.0569,0,0,0,0,0,887,39.54,-82.52
PN,830,EC,1,Bechtold (2003),5,-5.6268,1.7808,0,0.1231,0.1578,0,0,0,0,887,39.54,-82.52
CB,813,EC,1,Bechtold (2003),5,2.1517,1.6064,0,0.0609,0,0,0,0,0,887,39.54,-82.52
QI,817,EC,1,Bechtold (2003),5,9.8187,1.1343,0,0,0,0,0,0,0,887,39.54,-82.52
OV,822,EC,1,Bechtold (2003),5,1.7827,1.6549,0,0.0343,0,0,0,0,0,887,39.54,-82.52
WK,827,EC,1,Bechtold (2003),5,1.6349,1.5443,0,0.0637,-0.0764,0,0,0,0,887,39.54,-82.52
NK,828,EC,1,Bechtold (2003),5,2.1517,1.6064,0,0.0609,0,0,0,0,0,887,39.54,-82.52
WL,831,EC,1,Bechtold (2003),5,1.6477,1.3672,0,0.0846,0,0,0,0,0,887,39.54,-82.52
QS,834,EC,1,Bechtold (2003),5,2.1517,1.6064,0,0.0609,0,0,0,0,0,887,39.54,-82.52
SS,931,EC,1,Bechtold (2003),5,4.6311,1.0108,0,0.0564,0,0,0,0,0,887,39.54,-82.52
OB,331,EC,1,Bechtold (2003),5,4.5453,1.3721,0,0.043,0,0,0,0,0,887,39.54,-82.52
CA,450,EC,1,Bechtold (2003),5,4.6311,1.0108,0,0.0564,0,0,0,0,0,887,39.54,-82.52
PS,521,EC,1,Bechtold (2003),5,3.5393,1.3939,0,0.0625,0,0,0,0,0,887,39.54,-82.52
HL,552,EC,1,Bechtold (2003),5,4.1971,1.5567,0,0.088,0,0,0,0,0,887,39.54,-82.52
BP,741,EC,1,Bechtold (2003),5,6.2498,0.8655,0,0,0,0,0,0,0,887,39.54,-82.52
BT,743,EC,1,Bechtold (2003),5,0.58477,1.105,0,0.142,-0.0265,0,0,0,0,887,39.54,-82.52
QA,746,EC,1,Bechtold (2003),5,0.7315,1.318,0,0.0966,0,0,0,0,0,887,39.54,-82.52
BK,901,EC,1,Bechtold (2003),5,3.0012,0.8165,0,0.1395,0,0,0,0,0,887,39.54,-82.52
SY,731,EC,1,Bechtold (2003),5,-1.3973,1.3756,0,0.1162,0,0,0,0,0,887,39.54,-82.52
BY,221,EC,1,Bechtold (2003),5,-1.0183,0.8856,0,0.1162,0,0,0,0,0,887,39.54,-82.52
RB,373,EC,1,Bechtold (2003),5,11.6634,1.0028,0,0,0,0,0,0,0,887,39.54,-82.52
SU,611,EC,1,Bechtold (2003),5,1.8853,1.1625,0,0.0656,-0.03,0,0,0,0,887,39.54,-82.52
WI,920,EC,1,Bechtold (2003),5,1.7296,2.0732,0,0.059,-0.0869,0,0,0,0,887,39.54,-82.52
BL,922,EC,1,Bechtold (2003),5,1.7296,2.0732,0,0.059,-0.0869,0,0,0,0,887,39.54,-82.52
AH,391,EC,1,Bechtold (2003),5,0.9219,1.6303,0,0.115,-0.1113,0,0,0,0,887,39.54,-82.52
RD,471,EC,1,Bechtold (2003),5,2.96446,1.9917,0,0.0707,0,0,0,0,0,887,39.54,-82.52
DW,491,EC,1,Bechtold (2003),5,2.96446,1.9917,0,0.0707,0,0,0,0,0,887,39.54,-82.52
HT,500,EC,1,Bechtold (2003),5,2.96446,1.9917,0,0.0707,0,0,0,0,0,887,39.54,-82.52
KC,571,EC,1,Bechtold (2003),5,3.0012,0.8165,0,0.1395,0,0,0,0,0,887,39.54,-82.52
OO,641,EC,1,Bechtold (2003),5,4.6311,1.0108,0,0.0564,0,0,0,0,0,887,39.54,-82.52
CT,651,EC,1,Bechtold (2003),5,4.1711,1.6275,0,0,0,0,0,0,0,887,39.54,-82.52
MV,653,EC,1,Bechtold (2003),5,8.2119,0.9708,0,0,0,0,0,0,0,887,39.54,-82.52
MB,680,EC,1,Bechtold (2003),5,13.3255,1.0735,0,0,0,0,0,0,0,887,39.54,-82.52
HH,701,EC,1,Bechtold (2003),5,7.8084,0.8129,0,0.0941,-0.0817,0,0,0,0,887,39.54,-82.52
SD,711,EC,1,Bechtold (2003),5,7.975,0.8303,0,0.0423,-0.0706,0,0,0,0,887,39.54,-82.52
JP,105,EC,1,Bechtold (2003),5,0.7478,0.8712,0,0.0913,0,0,0,0,0,887,39.54,-82.52
SC,130,EC,1,Bechtold (2003),5,3.5522,0.6742,0,0.0985,0,0,0,0,0,887,39.54,-82.52
RN,125,EC,1,Bechtold (2003),5,-3.6548,1.9565,-0.0409,0.0577,0,0,0,0,0,887,39.54,-82.52
BF,12,EC,1,Bechtold (2003),5,0.6564,0.8403,0,0.0792,0,0,0,0,0,887,39.54,-82.52
BS,95,EC,1,Bechtold (2003),5,-0.8566,0.9693,0,0.0573,0,0,0,0,0,887,39.54,-82.52
TA,71,EC,1,Bechtold (2003),5,-0.3276,1.3865,0,0.0517,0,0,0,0,0,887,39.54,-82.52
WC,241,EC,1,Bechtold (2003),5,-0.0634,0.7057,0,0.0837,0,0,0,0,0,887,39.54,-82.52
EH,261,EC,1,Bechtold (2003),5,6.1924,1.4491,-0.0178,0,-0.0341,0,0,0,0,887,39.54,-82.52
OS,299,EC,1,Bechtold (2003),5,1.2359,1.2962,0,0.0545,0,0,0,0,0,887,39.54,-82.52
YB,371,EC,1,Bechtold (2003),5,-1.1151,2.2888,-0.0493,0.0985,-0.0396,0,0,0,0,887,39.54,-82.52
NP,809,EC,1,Bechtold (2003),5,4.8935,1.6069,0,0,0,0,0,0,0,887,39.54,-82.52
ST,315,EC,1,Bechtold (2003),5,4.5453,1.3721,0,0.043,0,0,0,0,0,887,39.54,-82.52
MM,319,EC,1,Bechtold (2003),5,6.4741,1.0778,0,0.0719,-0.0637,0,0,0,0,887,39.54,-82.52
AC,421,EC,1,Bechtold (2003),5,4.5453,1.3721,0,0.043,0,0,0,0,0,887,39.54,-82.52
AP,660,EC,2,Bragg (2001),5,4.1027,1.396,1.0775,0,0,0,0,0,0,887,39.54,-82.52
PR,761,EC,2,Bragg (2001),5,4.1027,1.396,1.0775,0,0,0,0,0,0,887,39.54,-82.52
CC,763,EC,2,Bragg (2001),5,4.1027,1.396,1.0775,0,0,0,0,0,0,887,39.54,-82.52
MA,935,EC,1,Bechtold (2003),5,4.1971,1.5567,0,0.088,0,0,0,0,0,887,39.54,-82.52
FR,10,EC,1,Bechtold (2003),5,0.6564,0.8403,0,0.0792,0,0,0,0,0,887,39.54,-82.52
PI,125,EC,1,Bechtold (2003),5,0.3789,0.8658,0,0.0878,0,0,0,0,0,887,39.54,-82.52
PU,107,EC,1,Bechtold (2003),5,-0.1211,1.2319,0,0.1212,0,0,0,0,0,887,39.54,-82.52
SA,111,EC,1,Bechtold (2003),5,-6.9659,2.1192,-0.0333,0.0587,-0.0959,0,0,0,0,887,39.54,-82.52
SR,115,EC,1,Bechtold (2003),5,-2.2564,1.3004,0,0.1031,-0.0562,0,0,0,0,887,39.54,-82.52
LL,121,EC,1,Bechtold (2003),5,-12.2105,1.3376,0,0.1237,-0.2759,0,0,0,0,887,39.54,-82.52
TM,123,EC,1,Bechtold (2003),5,-0.9442,1.4531,0,0.0543,-0.1144,0,0,0,0,887,39.54,-82.52
PP,126,EC,1,Bechtold (2003),5,-0.9442,1.4531,0,0.0543,-0.1144,0,0,0,0,887,39.54,-82.52
PD,128,EC,1,Bechtold (2003),5,-8.7711,3.7252,-0.1063,0,0,0,0,0,0,887,39.54,-82.52
PC,222,EC,1,Bechtold (2003),5,-1.0183,0.8856,0,0.1162,0,0,0,0,0,887,39.54,-82.52
HM,260,EC,1,Bechtold (2003),5,6.1924,1.4491,-0.0178,0,-0.0341,0,0,0,0,887,39.54,-82.52
FM,311,EC,1,Bechtold (2003),5,4.9399,1.0727,0,0.1096,-0.0493,0,0,0,0,887,39.54,-82.52
BU,330,EC,1,Bechtold (2003),5,4.5453,1.3721,0,0.043,,0,0,0,0,887,39.54,-82.52
BB,370,EC,1,Bechtold (2003),5,11.6634,1.0028,0,0,0,0,0,0,0,887,39.54,-82.52
